case,R_outer_mm,z_extra_mm,Nr,Nz,t_direct_s,axisV_peak,axisV_peak_rel_diff_vs_baseline,axis_field_integral,axis_field_integral_rel_diff_vs_baseline,forest_macroF_mean,forest_macroF_mean_rel_diff_vs_baseline,forest_macroF_p95,forest_macroF_p95_rel_diff_vs_baseline,I_FN_total,I_FN_total_rel_diff_vs_baseline
baseline,1.6,1.4,301,701,5.452437700000019,11233.942982254815,0.0,-2022.184982399387,0.0,10764855.67488362,0.0,11910635.44694747,0.0,5.139902114574077e-09,0.0
larger_r,2.0,1.4,376,701,8.827665499999966,11241.785878781026,0.0006981428104627886,-2110.252730586817,0.04355078736809467,10770823.305464745,0.0005543623399473278,11917418.817431338,0.0005695221312147798,5.218842285204564e-09,0.015358302331605454
larger_z,1.6,2.1,301,868,7.539905399999952,11227.943248896614,0.0005340719075821032,-2047.5305210170409,0.012533738920155815,10780973.061705044,0.0014972227504199188,11928965.57301174,0.0015389712955211493,5.358371248606872e-09,0.042504532024711265
larger_both,2.0,2.1,376,868,10.804542900000115,11236.38786763562,0.0002176337715676819,-2172.3214228452616,0.07424466196348312,10786997.016535804,0.0020568173249031724,11935826.94160447,0.002115042036943273,5.441319942329908e-09,0.05864271751424359
