case,Nr,Nz,t_direct_s,axisV_peak,axisV_peak_rel_diff_vs_ref,axis_field_integral,axis_field_integral_rel_diff_vs_ref,forest_macroF_mean,forest_macroF_mean_rel_diff_vs_ref,forest_macroF_p95,forest_macroF_p95_rel_diff_vs_ref,I_FN_total,I_FN_total_rel_diff_vs_ref,axisV_profile_relL2_vs_ref,axisEz_profile_relL2_vs_ref
coarse,121,281,0.48294559999999365,11016.419542322607,0.019363053584641642,-2029.065533592926,0.003402533029087604,10599338.943523534,0.015375657264617863,11771007.092776375,0.011722997886471307,3.7236041229427877e-09,0.2755496038758031,0.01652149878082005,0.04268014990644747
medium,181,421,1.0454781000000821,11083.173317166966,0.013420903535473353,-2035.7362062296816,0.0067012780473799756,10659544.657264274,0.009782854577888776,11785011.721275471,0.010547189210143675,3.918058191328911e-09,0.23771735258939183,0.0117671735497268,0.02612857224440923
fine,241,561,2.7559142999998585,11202.378564574014,0.0028097363259419372,-2019.5866127720637,0.0012849317198668382,10710817.233978165,0.005019894603095988,11864499.663795842,0.003873494689441814,4.595651157185372e-09,0.10588741677501869,0.0028364753606340146,0.010080436012093786
xfine,301,701,5.1736894000000575,11233.942982254815,0.0,-2022.184982399387,0.0,10764855.67488362,0.0,11910635.44694747,0.0,5.139902114574077e-09,0.0,0.0,0.0
